age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42.0,Federal-gov,236503,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
26.0,?,375313,Some-college,10,Never-married,,Own-child,Asian-Pac-Islander,Male,0,0,40.0,Philippines,<=50K
,Private,235136,7th-8th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40.0,Dominican-Republic,<=50K
27.0,Private,660870,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60.0,United-States,<=50K
33.0,Private,106938,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,38.0,United-States,<=50K
21.0,?,116934,Some-college,10,Never-married,?,Own-child,White,Female,0,0,,United-States,<=50K
40.0,Private,70761,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,Black,Male,0,0,,United-States,<=50K
63.0,Private,158199,1st-4th,2,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,44.0,Portugal,<=50K
33.0,State-gov,79440,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,30.0,Japan,<=50K
31.0,State-gov,174957,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,,United-States,<=50K
68.0,Private,99491,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,0,0,20.0,United-States,<=50K
51.0,Private,120914,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,2961,0,40.0,United-States,<=50K
58.0,Private,68624,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45.0,,<=50K
52.0,Private,199688,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,,,<=50K
47.0,Private,197836,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45.0,United-States,<=50K
32.0,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40.0,United-States,<=50K
33.0,Private,260782,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,Mexico,<=50K
55.0,Local-gov,104996,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15.0,United-States,<=50K
61.0,Private,355645,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40.0,United-States,<=50K
19.0,Private,188669,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,,United-States,<=50K
32.0,Private,121634,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40.0,Mexico,<=50K
58.0,Local-gov,223214,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,United-States,<=50K
43.0,Private,178976,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
28.0,?,241580,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,55.0,United-States,<=50K
,Private,198830,11th,7,Never-married,Adm-clerical,Other-relative,White,Female,0,0,10.0,United-States,<=50K
62.0,Self-emp-not-inc,82388,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10566,0,40.0,United-States,<=50K
31.0,Self-emp-inc,31740,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55.0,United-States,<=50K
22.0,?,96844,Some-college,10,Never-married,?,Not-in-family,White,Female,0,1602,20.0,United-States,<=50K
53.0,Private,113522,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,,United-States,<=50K
27.0,Private,309196,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
44.0,Private,172364,1st-4th,2,Married-civ-spouse,Transport-moving,Wife,White,Female,3908,0,60.0,United-States,<=50K
56.0,Private,147653,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50.0,United-States,<=50K
20.0,Private,167868,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35.0,United-States,<=50K
43.0,Private,70055,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,40.0,United-States,<=50K
36.0,Private,293528,Assoc-voc,11,Never-married,,Not-in-family,White,Female,0,0,3.0,,<=50K
31.0,Private,37939,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
43.0,State-gov,165309,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,<=50K
26.0,Private,113571,HS-grad,9,Never-married,,Not-in-family,White,Male,0,0,70.0,,<=50K
31.0,Private,19491,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
41.0,Private,308296,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,20.0,United-States,<=50K
40.0,Private,43711,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
20.0,Local-gov,188950,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,25.0,United-States,<=50K
22.0,Private,50163,9th,5,Never-married,Transport-moving,Own-child,White,Male,0,0,40.0,United-States,<=50K
40.0,Private,53956,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50.0,United-States,<=50K
54.0,?,108233,Assoc-acdm,12,Separated,?,Not-in-family,Black,Female,0,0,20.0,United-States,<=50K
44.0,Private,408717,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,3674,0,50.0,,<=50K
,Private,62539,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1876,38.0,United-States,<=50K
17.0,Private,219199,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,15.0,United-States,<=50K
47.0,Private,162859,HS-grad,9,Divorced,,Own-child,Black,Female,0,0,40.0,United-States,<=50K
23.0,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40.0,,<=50K
46.0,Private,424934,10th,6,Widowed,Other-service,Not-in-family,White,Female,0,0,40.0,Portugal,<=50K
58.0,Private,177368,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40.0,United-States,<=50K
46.0,Self-emp-not-inc,95256,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,,United-States,<=50K
41.0,Private,167375,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,,,<=50K
18.0,Self-emp-inc,29582,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,50.0,United-States,<=50K
57.0,Private,153918,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,<=50K
42.0,Local-gov,46094,Bachelors,13,Divorced,,Not-in-family,White,Male,0,0,33.0,United-States,<=50K
29.0,Private,196227,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
,?,188877,9th,5,Divorced,?,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
34.0,State-gov,44464,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60.0,United-States,<=50K
41.0,Local-gov,575442,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,,United-States,<=50K
25.0,Private,108414,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
36.0,Private,301614,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45.0,Mexico,<=50K
26.0,Private,181613,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,40.0,United-States,<=50K
45.0,Local-gov,102359,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,37.0,United-States,<=50K
31.0,Private,66278,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,3908,0,40.0,United-States,<=50K
19.0,Self-emp-inc,170125,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40.0,United-States,<=50K
44.0,Private,265266,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40.0,United-States,<=50K
20.0,Private,137974,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30.0,United-States,<=50K
23.0,Private,39615,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,10.0,United-States,<=50K
40.0,State-gov,119578,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,20.0,United-States,<=50K
42.0,Self-emp-not-inc,183765,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50.0,,<=50K
31.0,Private,104509,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,35.0,United-States,<=50K
,Private,91716,11th,7,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
45.0,State-gov,187581,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40.0,United-States,<=50K
28.0,Private,354095,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
19.0,Private,197861,12th,8,Never-married,Craft-repair,Own-child,White,Male,0,0,15.0,United-States,<=50K
45.0,Self-emp-inc,106517,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
,Private,122797,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40.0,United-States,<=50K
26.0,Local-gov,138597,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,25.0,United-States,<=50K
52.0,Private,74660,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,<=50K
37.0,Private,910398,Bachelors,13,Never-married,,Not-in-family,Black,Female,0,0,40.0,United-States,<=50K
32.0,Private,181665,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,50.0,United-States,<=50K
28.0,Private,221317,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40.0,Mexico,<=50K
36.0,Private,98360,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,United-States,<=50K
27.0,Private,255476,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,0,0,,Mexico,<=50K
31.0,Private,104729,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,35.0,Mexico,<=50K
21.0,Private,305423,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40.0,United-States,<=50K
26.0,Private,179010,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,65.0,,<=50K
29.0,Private,247445,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
26.0,Private,122999,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45.0,United-States,<=50K
73.0,Local-gov,114561,5th-6th,3,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,25.0,Philippines,<=50K
58.0,Private,170608,10th,6,Separated,Protective-serv,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
23.0,Private,161708,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,20.0,United-States,<=50K
68.0,Self-emp-not-inc,198554,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Female,0,0,,United-States,<=50K
41.0,Private,323919,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
37.0,State-gov,172425,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40.0,United-States,<=50K
27.0,Private,89598,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,60.0,,<=50K
,Private,424988,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,Mexico,<=50K
,Self-emp-not-inc,359988,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,12.0,United-States,<=50K
38.0,Private,34996,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,40.0,United-States,<=50K
19.0,Private,84250,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,15.0,United-States,<=50K
47.0,Private,236805,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,60.0,United-States,<=50K
47.0,Private,275095,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
58.0,Private,215190,11th,7,Married-civ-spouse,,Husband,White,Male,0,0,20.0,United-States,<=50K
41.0,?,339682,5th-6th,3,Married-civ-spouse,?,Husband,White,Male,0,0,40.0,Mexico,<=50K
42.0,Private,147251,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36.0,United-States,<=50K
22.0,?,125040,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40.0,United-States,<=50K
30.0,Private,326199,9th,5,Married-civ-spouse,,Husband,White,Male,2580,0,40.0,United-States,<=50K
51.0,Private,229272,HS-grad,9,Divorced,Other-service,Other-relative,Black,Male,0,0,32.0,Haiti,<=50K
60.0,Private,121127,10th,6,Widowed,Sales,Not-in-family,White,Female,0,0,40.0,,<=50K
60.0,Self-emp-inc,93272,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,60.0,United-States,<=50K
33.0,Private,22405,HS-grad,9,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,72.0,United-States,<=50K
27.0,Private,189777,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
60.0,Private,169204,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,<=50K
58.0,State-gov,280519,HS-grad,9,Divorced,Other-service,Own-child,Black,Male,0,0,40.0,United-States,<=50K
41.0,State-gov,180272,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,35.0,United-States,<=50K
82.0,Self-emp-not-inc,181912,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,12.0,United-States,<=50K
42.0,Private,112507,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30.0,United-States,<=50K
27.0,Private,366066,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
20.0,State-gov,334113,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40.0,United-States,<=50K
49.0,Private,166215,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
19.0,State-gov,135162,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10.0,United-States,<=50K
56.0,Self-emp-not-inc,52822,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70.0,United-States,<=50K
60.0,Private,181953,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,28.0,United-States,<=50K
23.0,Private,171705,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,48.0,United-States,<=50K
,Local-gov,209103,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,3464,0,45.0,United-States,<=50K
,Private,283268,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40.0,United-States,<=50K
19.0,?,217194,10th,6,Never-married,?,Own-child,White,Male,0,0,30.0,United-States,<=50K
64.0,Self-emp-not-inc,178748,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,,<=50K
24.0,Private,238917,5th-6th,3,Never-married,Craft-repair,Unmarried,White,Male,0,0,40.0,El-Salvador,<=50K
26.0,Private,196899,Assoc-acdm,12,Separated,Craft-repair,Not-in-family,Other,Female,0,0,40.0,United-States,<=50K
,Private,48193,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40.0,United-States,<=50K
48.0,Private,178686,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
47.0,Private,228583,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,?,<=50K
33.0,Local-gov,189145,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,,United-States,<=50K
61.0,Self-emp-not-inc,224784,Assoc-acdm,12,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0,0,90.0,United-States,<=50K
64.0,Private,148606,10th,6,Separated,Other-service,Not-in-family,White,Female,0,0,35.0,United-States,<=50K
29.0,Private,203697,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,75.0,United-States,<=50K
21.0,Private,243890,HS-grad,9,Never-married,Other-service,Other-relative,Black,Male,0,0,,United-States,<=50K
48.0,Private,498328,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40.0,United-States,<=50K
40.0,Private,566537,Preschool,1,Married-civ-spouse,,Husband,White,Male,0,1672,40.0,,<=50K
22.0,Local-gov,212213,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40.0,United-States,<=50K
,Private,347623,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40.0,United-States,<=50K
49.0,Private,31267,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
26.0,Private,75654,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,55.0,United-States,<=50K
43.0,Private,122975,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,,Trinadad&Tobago,<=50K
22.0,Private,251196,Some-college,10,Never-married,Protective-serv,Own-child,Black,Female,0,0,20.0,United-States,<=50K
,Private,322980,HS-grad,9,Separated,Adm-clerical,Not-in-family,Black,Male,2354,0,40.0,United-States,<=50K
33.0,Federal-gov,198827,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40.0,United-States,<=50K
47.0,Private,95680,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40.0,United-States,<=50K
19.0,Private,189574,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30.0,United-States,<=50K
22.0,Private,148431,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Other,Female,0,0,40.0,United-States,<=50K
,Private,198513,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40.0,United-States,<=50K
18.0,Self-emp-not-inc,212207,HS-grad,9,Never-married,,Own-child,White,Male,0,0,11.0,United-States,<=50K
43.0,State-gov,98989,HS-grad,9,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,40.0,United-States,<=50K
27.0,Self-emp-not-inc,66473,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50.0,United-States,<=50K
23.0,Private,177526,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40.0,United-States,<=50K
28.0,Private,67218,7th-8th,4,Married-civ-spouse,,Other-relative,White,Male,0,0,40.0,United-States,<=50K
41.0,Private,70447,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,60.0,United-States,<=50K
30.0,Self-emp-not-inc,257295,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40.0,South,<=50K
,Private,100961,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
,Private,369367,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
58.0,Private,132606,5th-6th,3,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40.0,United-States,<=50K
39.0,Local-gov,45607,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,,United-States,<=50K
,Private,276087,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,26.0,United-States,<=50K
,Private,187581,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,40.0,United-States,<=50K
28.0,Private,250679,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,United-States,<=50K
45.0,Self-emp-not-inc,105838,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35.0,United-States,<=50K
36.0,Private,353263,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40.0,United-States,<=50K
18.0,Private,131180,11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0,16.0,United-States,<=50K
43.0,Federal-gov,47902,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3908,0,40.0,United-States,<=50K
21.0,?,207988,HS-grad,9,Married-civ-spouse,,Other-relative,White,Female,0,0,35.0,United-States,<=50K
31.0,Private,261943,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40.0,,<=50K
45.0,Private,160703,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,55.0,United-States,<=50K
22.0,?,157332,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40.0,United-States,<=50K
33.0,Local-gov,262042,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,1138,40.0,,<=50K
61.0,Self-emp-not-inc,390472,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40.0,United-States,<=50K
34.0,Private,183778,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40.0,United-States,<=50K
27.0,Private,31493,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,,United-States,<=50K
31.0,Private,442429,HS-grad,9,Separated,Craft-repair,Unmarried,White,Female,0,0,40.0,,<=50K
42.0,Self-emp-not-inc,192589,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70.0,United-States,<=50K
40.0,Private,244172,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40.0,,<=50K
28.0,Private,154236,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,2597,0,40.0,United-States,<=50K
31.0,Private,173858,Prof-school,15,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40.0,India,<=50K
41.0,Federal-gov,73070,Masters,14,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40.0,United-States,<=50K
24.0,Self-emp-inc,158950,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45.0,United-States,<=50K
62.0,Local-gov,223637,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,0,35.0,United-States,<=50K
,Local-gov,87052,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,5.0,United-States,<=50K
,Private,285432,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,40.0,United-States,<=50K
43.0,Private,50197,10th,6,Separated,,Not-in-family,Black,Female,0,0,40.0,United-States,<=50K
35.0,?,98389,Some-college,10,Never-married,?,Unmarried,White,Male,0,0,10.0,United-States,<=50K
21.0,Private,62339,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,,,<=50K
38.0,Private,150057,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50.0,Poland,<=50K
21.0,Private,296158,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,25.0,United-States,<=50K
,Local-gov,202473,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,,United-States,<=50K
19.0,Private,124265,Some-college,10,Never-married,,Own-child,White,Male,0,0,40.0,United-States,<=50K
35.0,Local-gov,252217,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40.0,United-States,<=50K
42.0,Private,250536,Some-college,10,Separated,Other-service,Unmarried,Black,Female,0,0,21.0,Haiti,<=50K
,Private,145592,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,,Guatemala,<=50K
49.0,Private,304864,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,0,0,35.0,United-States,<=50K
24.0,Private,185821,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40.0,United-States,<=50K
25.0,Private,114150,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40.0,United-States,<=50K
56.0,State-gov,118614,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40.0,United-States,<=50K
28.0,Private,183639,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,21.0,United-States,<=50K
60.0,?,190497,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,40.0,United-States,<=50K
20.0,Local-gov,271354,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,,United-States,<=50K
